as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2016",Eleanor McMahon,Burlington,"Salary - Legislative Assembly of Ontario, Minister.
CPP Survivor Benefit.",Nil.,Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Eric Hoskins,St. Paul's,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Shares - CI Financial Corp. (Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Hoskins is not required to place these shares in trust on the condition that he does not buy, sell or trade same.)","Mortgages and lines of credit: Canadian Imperial Bank of Commerce, Bank of Nova Scotia, Toronto-Dominion Bank.",Nil.,Nil.
"September 01, 2016",Ernie Hardeman,Oxford,Salary - Legislative Assembly of Ontario.,"Hardeman Feeds Ltd. (inactive) - 51% interest.
Investment and registered accounts:
Sector-specific funds/notes - Sentry Select REIT Fund, RBC Lions Canadian Banks Booster Securities.",Nil.,Nil.,President - Hardeman Feeds Ltd.
"September 01, 2016",France Gélinas,Nickel Belt,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Sector-specific funds - Front Street Special Opportunities Class B, Stone & Co Resource Plus Class.
Limited partnership units - Front Street FT NAT CEE141LP.",Nil.,Nil.,Nil.
"September 01, 2016",Gila Martow,Thornhill,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - Alphabet Inc., Fedex Corp., Royal Bank of Canada, Bank of Montreal, Telus Corp.",Nil.,Nil.,Nil.
"September 01, 2016",Gilles Bisson,Timmins-James Bay,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of Credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2016",Glen Murray,Toronto Centre,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage - CIBC.,"Minister Murray was provided with a venue to launch a community planning platform, received from the Ryerson Mattamy Athletic Centre in February, 2016.",Nil.
"September 01, 2016",Glenn Thibeault,Sudbury,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage - Bank of Nova Scotia.
Lines of Credit - Bank of Nova Scotia, Northern Credit Union.",Nil.,Nil.
"September 01, 2016",Grant Crack,Glengarry-Prescott-Russell,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental Income.","Investment Properties -
270 Main St. S. Alexandria, Ontario - 100% interest;
325 MacDonald Blvd., Alexandria, Ontario - 100% interest;
2265731 Ontario Ltd. - 50% interest (inactive).","Mortgages - Bank of Nova Scotia, Investor's Group, Royal Bank of Canada.
Lines of Credit - Bank of Nova Scotia, Royal Bank of Canada.",Nil.,Director - 2265731 Ontario Ltd.
"September 01, 2016",Granville Anderson,Durham,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Line of Credit - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Han Dong,Trinity-Spadina,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgages and Lines of Credit - CIBC, Royal Bank of Canada.",Nil.,Nil.
"September 01, 2016",Harinder Malhi,Brampton-Springdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income - investment property.","Investment Property -
43 Madelaine Dr., Barrie ON - 100% interest.",Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Harinder Takhar,Mississauga-Erindale,"Salary - Legislative Assembly of Ontario.
Pensions - OMERS, CPP.
Directors Fees - Data Group Ltd.
Investment Income.","BKST Industries Inc. - preferred shares - 60% interest.
Investment and registered accounts:
Shares: TransCanada Corp., Bank of Nova Scotia, CCL Industries, Manulife, BCE Inc., Dream Office REIT, Intel Corp.
Preferred Shares: Bank of Nova Scotia, Royal Bank of Canada.",Line of Credit - TD Canada Trust.,Nil.,"Directorships - Data Group Ltd. (ceased as of June 1, 2016), KST Industries Inc., BKST Industries Inc."
"September 01, 2016",Helena Jaczek,Oak Ridges-Markham,"Salary - Legislative Assembly of Ontario, Minister.
Pensions - OMERS, CPP.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Indira Naidoo-Harris,Halton,"Salary - Legislative Assembly of Ontario, Minister.","Vacant lots - Pearse Island, British Columbia.",Lines of credit - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Jack MacLaren,Carleton-Mississippi Mills,"Salary - Legislative Assembly of Ontario.
Pension - CPP.
Income - cash crops.
Rental income - investment properties.","Family farm - cash crop farming - 50% interest.
Maple Terrace Builders Ltd. - construction company - 100% interest - inactive.
Investment properties: L24C2 Torbolton Township, Ottawa - 50% interest.
L25C2 Torbolton Township, Ottawa - 50% interest.
L25C1 Torbolton Township, Ottawa - 50% interest.
L20C2 Torbolton Township, Ottawa - 50% interest.
L21+L22C9 Fitzroy Township, Ottawa - 50% interest.
L18C2 Torbolton Township, Ottawa - 50% interest.","Mortgages - Northern Credit Union, Farm Credit Corp.
Loans - Farm Credit Corp.
Farm tile drainage loan, City of Ottawa.",Nil.,Director - Maple Terrace Builders Ltd. - inactive.
"September 01, 2016",Jagmeet Singh,Bramalea-Gore-Malton,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Equitable Trust.
Line of Credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2016",James Bradley,St. Catharines,"Salary - Legislative Assembly of Ontario.
Pension - CPP.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Jeff Leal,Peterborough,"Salary - Legislative Assembly of Ontario, Minister.
Rental income - investment property.","Investment Property - 666 Montrose Street, Peterborough, ON - 50% interest.",Nil.,Nil.,Nil.
"September 01, 2016",Jeff Yurek,Elgin-Middlesex-London,"Salary - Legislative Assembly of Ontario.
Dividends - Yurek Pharmacy.","Yurek Pharmacy Ltd. - 25% interest. (The remaining 75% interest is held by the member's brother, Peter Yurek. Yurek Pharmacy has a contract with the Southwest Community Access Centre to supply medical supplies and IVs. This contract runs from Jan. 1, 2013 until Jan. 1, 2019.)
Yurek Specialties Ltd. - 25% interest. (The remaining 75% interest is held by the member's brother, Peter Yurek.)
Registered and investment accounts:
Shares - Columbus Gold, Bank of Nova Scotia, BP, Cenovus Energy, Crescent Point Energy, Stryker Corp., Wells Fargo, Black Iron Inc., Anvel Gold, Suncor,
Sector-specific funds - Franklin Bissett Energy.","Mortgage, Line of Credit - Bank of Nova Scotia.
Guarantor on loan to Yurek Pharmacy Ltd. from Bank of Nova Scotia.",Nil.,Director - Yurek Pharmacy Ltd.
"September 01, 2016",Jennifer French,Oshawa,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Toronto-Dominion Bank.
Loan and Line of Credit - Oshawa Community Credit Union Ltd.",Nil.,Nil.
"September 01, 2016",Jim McDonell,Stormont-Dundas-South Glengarry,"Salary - Legislative Assembly of Ontario.
Pension - Bell Canada.","Investment and registered accounts:
Sector-specific fund - Front Street Special Opportunities Class Y.",Loan - B2B Trust.,Nil.,Nil.
"September 01, 2016",Jim Wilson,Simcoe-Grey,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - BCE Inc., Magna International, Potash Corp., Sun Life Financial, Cenovus Energy, Dollarama, Thomson Reuters, Toronto-Dominion Bank, Alimentation Couche-Tard, CI Financial, Crescent Point Energy, Emera Inc., TransCanada Corp., BB&T Corp., JP Morgan Chase.",Nil.,Nil.,Nil.
"September 01, 2016",Joe Dickson,Ajax-Pickering,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.
Investment income.","L.J. Dickson Printing Ltd. - 100% interest.
870621 Ontario Ltd. - Real estate holding company - 50% interest.
Government contracts: 870621 Ontario Ltd. is paid by Hydro One through a power purchase agreement with the government of Ontario. (The Integrity Commissioner has exercised his discretion under section 7(4) of the Members' Integrity Act, 1994 to allow Mr. Dickson to retain his interest in 870621 Ontario Ltd.)",Lines of credit - Royal Bank of Canada.,Nil.,"Director - 870621 Ontario Ltd.
President - L.J. Dickson Printing Ltd.
Ex-Officio Member - Ajax Pickering Provincial Liberal Association."
"September 01, 2016",John Fraser,Ottawa South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgage, Line of Credit - TD Canada Trust.
Mortgage - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2016",John Vanthof,Timiskaming-Cochrane,"Salary - Legislative Assembly of Ontario.
Rental income - agricultural property.","Agricultural Property: Lots 8 and 9 Concession 1, Evanturel - 50% interest.
Investment and registered accounts:
Sector-specific fund - Scotia Private Real Estate Income Pool.
Shares - Gay Lea Foods.",Mortgage and Lines of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",John Yakabuski,Renfrew-Nipissing-Pembroke,Salary - Legislative Assembly of Ontario.,"PJ Wye Holdings Ltd. - 100% interest (inactive).
969041 Ontario Limited - 58% interest (inactive).
Investment and registered accounts:
Sector-specific fund - Signature Canadian Resource Fund.",Nil.,Nil.,"President - PJ Wye Holdings Ltd. (inactive).
President - 969041 Holdings Ltd. (inactive)."
"September 01, 2016",Julia Munro,York-Simcoe,"Salary - Legislative Assembly of Ontario.
Pensions - Ontario Teachers' Pension Plan, CPP.
Sales and boarding income - Coquetel Kennels.
Investment income.","Sornum Inc. - Consulting/Management company - 50% interest.
Coquetel Kennels - 50% interest.
Investment and registered accounts:
Shares - Aecon Group Inc., Manulife Financial Corp., Potash Corp. of Saskatchewan, AltaGas Ltd., Crescent Point Energy Corp., Eldorado Gold Corp., Firm Capital Mortgage Investment Corp., Goldcorp Inc., Power Financial Corp., Suncor Energy Inc., Telus Corp., PPL Corp., General Electric Corp., Gabelli Equity Trust Inc., Bank of Montreal, Canadian Imperial Bank of Commerce, Great West Life Co., Inter Pipeline Ltd., Manulife Financial Corp., Mcan Mortgage Corp., Royal Bank of Canada, Silver Wheaton Corp., Vereit Inc., Alcoa, Firm Capital, Brookfield Soundvest.
Preferred Shares - Brookfield Office Properties Inc., Power Corp, Royal Bank of Canada.
Sector-specific funds - Vanguard Health Care ETF, Consumer Dis Sel, Stone & Co. Resource Plus Fund.
Trust Units - Dream Global REIT, Energy Income Fund, Faircourt Split Trust, Morguard North American REIT, Riocan REIT, Canadian Tire REIT, Aston Hill Global Resource.",Nil.,Nil.,"Director - Sornum Inc.
Board Member - Kinsmen Non Profit Housing Corporation."
"September 01, 2016",Kathleen Wynne,Don Valley West,"Salary - Legislative Assembly of Ontario, Premier.","Investment Property - 556 Priddle Rd., Newmarket, ON.","Mortgages - Alterna Savings, Bank of Nova Scotia.
Line of Credit - Alterna Savings.",Nil.,Nil.
"September 01, 2016",Kathryn McGarry,Cambridge,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of Credit - CIBC.",Nil.,Nil.
"September 01, 2016",Kevin Flynn,Oakville,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Laura Albanese,York South-Weston,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Laurie Scott,Haliburton-Kawartha Lakes-Brock,Salary - Legislative Assembly of Ontario.,Nil.,Loan - Royal Bank of Canada.,Nil.,Board Member - Kinmount Agricultural Society.
"September 01, 2016",Lisa Gretzky,Windsor West,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - RMG.
Line of Credit - TD Canada Trust.",Nil.,Nil.
"September 01, 2016",Lisa MacLeod,Nepean-Carleton,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of Credit - Royal Bank of Canada.","Ms. MacLeod received airfare and accommodation on Aug. 10, 2016 from the Schulich School of Medicine at the University of Western Ontario in London, ON to attend a conference on concussion treatment and prevention.
Ms. MacLeod received airfare and accommodation on July 19, 2016 from Equal Voice in St. John's, Newfoundland, to attend the Canadian Parliamentarians' Conference on the Daughters of the Vote initiative.",Nil.
"September 01, 2016",Lisa Thompson,Huron-Bruce,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Bank of Montreal.
Line of Credit - TD.",Nil.,Nil.
"September 01, 2016",Liz Sandals,Guelph,"Salary - Legislative Assembly of Ontario, Minister.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Lorenzo Berardinetti,Scarborough Southwest,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgage - Bank of Nova Scotia.
Line of Credit - Royal Bank of Canada.",Nil.,Nil.
"February 11, 2016",Lorne Coe,Whitby-Oshawa (byelection),"Salary - Town of Whitby
Pension income - Ontario Pension Board.",Nil.,Line of Credit - Bank of Montreal.,Nil.,Nil
"September 01, 2016",Lorne Coe,Whitby-Oshawa,"Salary - Legislative Assembly of Ontario.
Salary - Town of Whitby.
Pensions - Ontario Pension Board, CPP.",Nil.,Line of Credit - Bank of Montreal.,Nil.,Nil.
"September 01, 2016",Lou Rinaldi,Northumberland-Quinte West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.",Brighton Speedway - 25% interest.,Mortgage and Line of Credit - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2016",Marie-France Lalonde,Ottawa-Orléans,"Salary - Legislative Assembly of Ontario, Minister.","Les Investissements Marie-France Lalonde Inc. - holding company 100% interest.
Family trust - member trustee.",Mortgages - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Mario Sergio,York West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pensions - OMERS, CPP, Canada Life.
Rental income - investment property.","Investment property - Unit, 10 Dayspring Circle, Brampton ON - 50% interest.
First General Realty - 100% interest (inactive).
Marvel Technology - Home Building - 100% interest (inactive).",Nil.,Nil.,Nil.
"September 01, 2016",Michael Chan,Markham-Unionville,"Salary - Legislative Assembly of Ontario, Minister.","Management trust dated April 27, 2007.
12 Sylvia Court, Markham, ON (vacant lot) - 100% interest.
Investment and registered accounts:
Shares - Advanced Micro Devices Inc., Telesta Therapeutics Inc., Petaquilla Minerals Ltd., Suncor Energy.
Sector-specific funds: CIBC Financial Companies Fund.
(Pursuant to section 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Chan is not required to place these shares or funds in trust on the condition that he does not buy, sell or trade same.)",Nil.,Nil.,Nil.
"September 01, 2016",Michael Coteau,Don Valley East,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of Credit - TD Canada Trust.",Nil.,Nil.
"September 01, 2016",Michael Gravelle,Thunder Bay-Superior North,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of Credit - CIBC.",Nil.,Nil.
"September 01, 2016",Michael Harris,Kitchener-Conestoga,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of Credit - TD Canada Trust.",Nil.,Nil.
"September 01, 2016",Michael Mantha,Algoma-Manitoulin,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Northern Credit Union.,Nil.,Nil.
"September 01, 2016",Mike Colle,Eglinton-Lawrence,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pensions - Ontario Teachers' Pension, CPP.",Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Mitzie Hunter,Scarborough-Guildwood,"Salary - Legislative Assembly of Ontario, Minister.
Rental income - investment property.","Investment Property - Unit, 168 King Street East, Toronto, ON - 100% interest.
Investment and registered accounts:
Shares - Bell Canada Enterprises Inc. (Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Hunter is not required to place these shares in trust on the condition that she does not buy, sell or trade same.)","Mortgage - Bank of Montreal.
Lines of credit - Manulife, Bank of Montreal.",Nil.,Nil.
"September 01, 2016",Monique Taylor,Hamilton Mountain,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Monte Kwinter,York Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Director's fee - Alpha Laboratories.
Pensions - CPP, Teachers' Pension Plan (survivor pension).
Investment income.","Investment and Registered Accounts:
Shares - Crescent Point Energy Corp., Manulife Financial Corp., Bell Canada Enterprises Inc., Royal Bank of Canada.",Nil.,Nil.,"Chair - Alpha Laboratories Inc. Advisory Board.
Honourary Director - Canadian Society for Yad Vashem.
Member - Ontario College of Art and Design University Presidential Advisory Council."
"September 01, 2016",Monte McNaughton,Lambton-Kent-Middlesex,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Royal Bank of Canada.,"1. With the approval of the council of the Municipality of Southwest Middlesex, Mr. McNaughton receives and uses one half day per week municipality-owned office space in order for his constituency staff to meet with constituents.
2. With the approval of the council of the Municipality of Lambton Shores, Mr. McNaughton receives and uses one half day per week municipality-owned office space in order for his constituency staff to meet with constituents.",Nil.
"November 17, 2016",Nathalie Des Rosiers,Ottawa-Vanier (byelection),Salary - University of Ottawa.,Nil.,Mortgage - TD Canada Trust.,Nil.,Nil.
"September 01, 2016",Norm Miller,Parry Sound-Muskoka,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - Telus Corp., Bell Canada Enterprises Inc., Toronto-Dominion Bank, Algoma Central Corporation, Bank of Montreal, Bank of Nova Scotia, Royal Bank of Canada.",Nil.,Nil.,Nil.
"September 01, 2016",Patrick Brown,Leader of the Progressive Conservative Party of Ontario,"Salary - Legislative Assembly of Ontario, Leader of the Progressive Conservative Party.","Hooligans Restaurant - Barrie, ON - 7% interest (active).
Churchill Peace Corp. - 100% interest (inactive).",Mortgage - TD Canada Trust.,Nil.,Chair - Hockey Night in Simcoe County.
"September 01, 2016",Paul Miller,Hamilton East-Stoney Creek,"Salary - Legislative Assembly of Ontario.
Pension - U.S. Steel Canada Inc. (formerly Stelco).",Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Peggy Sattler,London West,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Percy Hatfield,Windsor-Tecumseh,"Salary - Legislative Assembly of Ontario.
Pensions - OMERS, CBC, CPP.
Rental income - investment property.","Investment Property - 481 Cameron Ave., Windsor, ON - 50% interest.
Investment and registered accounts:
Sector-specific fund - TD Entertainment and Communications Fund.",Line of Credit - TD Canada Trust.,Nil.,Nil.
"September 01, 2016",Peter Milczyn,Etobicoke-Lakeshore,"Legislative Assembly of Ontario, Parliamentary Assistant.","Investment and registered accounts:
Shares - Allied Properties REIT, Algonquin Power, Brookfield Asset Management, Canadian Apartment Properties REIT, Chartwell Retirement Residences REIT, Inter Pipeline Ltd, Power Financial Corp, Royal Bank, Russel Metals, Teck Resources, Bank of Montreal, BCE Inc, Crescent Point Energy Corp, Timbercreek Financial, Bank of Montreal, Dream Office REIT, Morguard North American REIT.
Sector-specific fund - Canadian Financial ETF.",Mortgage - TD Canada Trust.,Nil.,Nil.
"September 01, 2016",Peter Tabuns,Toronto-Danforth,"Salary - Legislative Assembly of Ontario.
Pension - OMERS.",Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Randy Hillier,Lanark-Frontenac-Lennox and Addington,Salary - Legislative Assembly of Ontario.,Landowner magazine - 30% interest.,Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Randy Pettapiece,Perth-Wellington,Salary - Legislative Assembly of Ontario.,Jane Painted Mine - Decorating business - 50% interest.,"Mortgage - Bank of Nova Scotia.
Line of Credit - Libro Credit Union.",Nil.,Nil.
"September 01, 2016",Raymond Cho,Scarborough-Rouge River,"Salary - City of Toronto, Legislative Assembly of Ontario.
Pensions - OMERS, City of Toronto, CPP.
Investment income.",Nil.,Nil.,Nil.,Global Youth Leaders - Founder.
"September 01, 2016",Reza Moridi,Richmond Hill,"Salary - Legislative Assembly of Ontario, Minister.
Pension - Radiation Safety Institute of Canada.
Rental income - investment property.","Investment property - 73 Little River Court, Vaughan, ON. - 50% interest.",Mortgage - Bank of Montreal.,Nil.,Nil.
"September 01, 2016",Rick Nicholls,Chatham-Kent-Essex,"Salary - Legislative Assembly of Ontario.
Pension - CPP.","Nicholls Training Group - 100% interest (inactive).
Investment and registered accounts:
Shares - Cresent Point Energy, Toronto-Dominion Bank, Whitecap Resources Inc.",Nil.,Nil.,Nil.
"November 17, 2016",Sam Oosterhoff,Niagara West—Glanbrook (byelection),Salary - House of Commons.,Nil.,Nil.,Nil.,Nil.
"September 01, 2016",Sarah Campbell,Kenora-Rainy River,Salary - Legislative Assembly of Ontario.,Nil.,Loan - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2016",Shafiq Qaadri,Etobicoke North,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income - investment property.
OHIP fees.
Fees - Continuing Medical Education presentations.","Investment property - 2729 Bayview Avenue, Toronto, ON - 100% interest.
Investment and registered accounts:
Shares - Charter Communications, Cisco, Coca Cola, Geron Corp., Intel Corp., Microsoft Corp., Time Warner Inc.",Nil.,Nil.,Nil.
"September 01, 2016",Soo Wong,Scarborough-Agincourt,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Sophie Kiwala,Kingston and the Islands,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income - investment property.","Investment property - 41 Jorene Drive, Kingston, ON. - 100% interest.",Mortgages - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Steve Clark,Leeds-Grenville,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Steven Del Duca,Vaughan,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, lines of credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2016",Sylvia Jones,Dufferin-Caledon,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - Advantage Oil & Gas, Aecon Group Inc., Air Canada, Baytex Energy Corp., BCE Inc., Bonavista Energy Corp., Crescent Point Energy Corp., Enbridge Inc., Manitoba Telecom, Manulife Financial, Pembina Pipeline Corp., Power Financial Corp., Stella Jones Inc., Sun Life Financial Inc., TransCanada Corp.
Preferred shares - Bank of Montreal, Enbridge Inc., Great-West, Manulife Financial, Power Financial, TransCanada Corp.
Sector-specific funds - Sprott Physical Gold, Sprott Energy, Sprott Gold & Precious Metals.",Nil.,Nil.,Nil.
"September 01, 2016",Taras Natyshak,Essex,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of Credit - Toronto-Dominion Bank.",Nil.,Nil.
"September 01, 2016",Ted Arnott,Wellington-Halton Hills(byelection),Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - General Electric
Sector-specific Funds - National Bank Precious Metals Fund.",Nil.,Nil.,Nil.
"September 01, 2016",Ted McMeekin,Ancaster-Dundas-Flamborough-Westdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Lines of Credit - TD Bank, First Line.",Nil.,Nil.
"September 01, 2016",Teresa Armstrong,London-Fanshawe,"Salary - Legislative Assembly of Ontario.
Rental income - investment properties.","Investment Properties - 379 Calgary Street, London, ON - 50% interest; 237 Vancouver Street, London, ON - 50% interest.
Armstrong Associates - process serving company - 50% interest (active).",Mortgages and Line of Credit - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2016",Toby Barrett,Haldimand-Norfolk,"Salary - Legislative Assembly of Ontario.
Pensions - Ontario Pension Board, CPP.
Rental income - farmland; investment property.","Investment Property - 280 Brant Ave., Brantford, ON - 50% interest.",Nil.,Nil.,Nil.
"September 01, 2016",Todd Smith,Prince Edward-Hastings,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2016",Tracy MacCharles,Pickering-Scarborough East,"Salary - Legislative Assembly of Ontario, Minister.",TM Consulting - Human Resources consulting - 100% interest (inactive).,Nil.,Nil.,Nil.
"September 01, 2016",Vic Dhillon,Brampton West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income - investment property.","Investment Property - Unit, 43 Madeline Drive, Barrie ON - 50% interest.","Mortgages, Line of Credit - CIBC.",Nil.,Nil.
"September 01, 2016",Vic Fedeli,Nipissing,Salary - Legislative Assembly of Ontario.,"Vacant lot - 1349 Lakeshore Drive, North Bay, ON - 50% interest.
Fedeli Corporation - holding company - 100% interest.",Nil.,Nil.,"President, Secretary and Treasurer - Fedeli Corporation."
"September 01, 2016",Wayne Gates,Niagara Falls,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Sector-specific fund - Royal Bank of Canada Global Precious Metals Fund.","Mortgage, Line of Credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2016",Yasir Naqvi,Ottawa Centre,"Salary - Legislative Assembly of Ontario, Minister.",Two properties in Pakistan - 100% interest.,Mortgage - Street Capital Financial Corp.,Nil.,Nil.
"September 01, 2016",Yvan Baker,Etobicoke Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Maple Strategies - 100% interest (inactive).,Nil.,Nil.,Nil.
"September 01, 2015",Amrit Mangat,Mississauga-Brampton South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Rental income - investment property.","Investment property - Unit, 8 Lisa Street, Brampton, ON.","Mortgages - Royal Bank of Canada
Line of Credit - VanCity.",Nil.,Nil.
"September 01, 2015",Andrea Horwath,Hamilton Centre,"Salary - Legislative Assembly of Ontario, Leader of the New Democratic Party.
Rental income - investment property.","Investment property - 76 West Avenue North, Hamilton, ON.",Mortgages - First Ontario Credit Union.,Nil.,Nil.
"September 01, 2015",Ann Hoggarth,Barrie,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage and Line of Credit - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2015",Arthur Potts,Beaches-East York,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Rental income - investment property
Partner's tab - The Pilot.","Municipal Affairs Consulting - 100% interest
The Pilot Restaurant - 7% interest
Investment property - 83 Cambridge Avenue, Toronto, ON
Shares - Cleantech Capital, Alpha Cancer Technologies, Biowaste Treatment Technologies - 40% interest.","Loan - Al Stuart, Ted Gruetzner, Hugh Mackenzie
Mortgages - Royal Bank of Canada, Canadian Imperial Bank of Commerce
Lines of Credit - Royal Bank of Canada.",Nil.,"President - Biowaste Treatment Technologies Limited
President - Municipal Affairs Consulting
Partner - The Pilot."
"September 01, 2015",Bas Balkissoon,Scarborough-Rouge River,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","2171041 Ontario Inc. - 50% interest (inactive)
Registered and Investment Accounts:
Shares - Blackberry Ltd, Bank of Nova Scotia, CRH Medical Corp, Linamar Corp, Magna Inc, Saputo Inc, Toronto-Dominion Bank.",Nil.,Nil.,Nil.
"September 01, 2015",Bill Mauro,Thunder Bay-Atikokan,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Nil.,Nil.,Nil.
"September 01, 2015",Bill Walker,Bruce-Grey-Owen Sound,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - Sun Life Financial
Sector-specific fund - Sentry Precious Metals Growth Fund.",Mortgages - Toronto-Dominion Bank.,"Mr. Walker was a member of a delegation to Taiwan and accepted the following from the Taipei Economic and Cultural Office in March 2015: airfare, accommodation and meals and transportation.",President - Bruce Condominium Corporation No. 3.
"September 01, 2015",Bob Bailey,Sarnia-Lambton,Salary - Legislative Assembly of Ontario.,"Investment and Registered Accounts:
Shares - Bank of Montreal, Suncor Energy Inc., TransCanada Corporation, Toronto-Dominion Bank
Sector specific funds - United Real Estate INV PL.",Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
